id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted
2,"A direct call rings from the room: caller waits, callee is popped","The pre-existing 1:1 handshake, driven entirely by the caller's own client. This is the flow the setting must leave untouched.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = Off (the default). Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2 exists and both have it open.",Nothing to restore: the settings are at their defaults. Close any call window still open.,"videoconf,conference-window,flag-off,ringing,automation-candidate",high,critical,regression,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, click the room header camera button and confirm with ""Start call"".
2. Look at user2's browser.
3. As user2, click Accept.
4. Look at the direct message in either browser.
","1. The popup is replaced by a ""Calling user2"" popup in user1's room, with a Cancel action. A dial tone plays. No window opens for user1.
2. An ""Incoming call from"" popup covers user2's screen naming user1, with Accept, Decline and a ""Mute and dismiss"" cross. A ring tone plays.
3. Both popups close. A new browser tab opens for user1 and for user2 at the provider's own page (a jitsi URL, not a /conference/ URL on the workspace).
4. A video-conference message block is present, naming the call and offering ""Join call"".
","1. 
2. 
3. 
4. 
",,,2,1,Flag OFF - pre-existing behaviour,,,no
3,Declining a direct call turns it down and offers to call again,"Mirrors tests/e2e/video-conference-ring.spec.ts, which is unchanged from develop on this branch.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = Off (the default). Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2 exists and both have it open.",Nothing to restore: the settings are at their defaults. Close any call window still open.,"videoconf,conference-window,flag-off,ringing,automation-candidate",high,major,regression,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, start a direct call to user2 and wait for both popups.
2. As user2, click Decline.
3. As user1, click ""Call again"" on that message block.
","1. user1 sees ""Calling user2""; user2 sees ""Incoming call from user1"".
2. user2's popup closes and the ring stops. user1's ""Calling user2"" popup closes too, and the room's conference message block now offers ""Call again"".
3. The ""Start a call with user2"" popup opens again, exactly as the header button opens it.
","1. 
2. 
3. 
",,,2,1,Flag OFF - pre-existing behaviour,,,no
4,The sidebar lists the ringing room under Incoming Calls with accept and reject actions,The Incoming Calls sidebar group and its two row actions are pre-existing behaviour that the flag must not remove while it is off.,"Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = Off (the default). Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2 exists and both have it open.",Nothing to restore: the settings are at their defaults. Close any call window still open.,"videoconf,conference-window,flag-off,sidebar,automation-candidate",high,major,regression,positive,to-be-automated,actual,no,e2e,classic,"1. As user2, make sure the sidebar is expanded, then have user1 place a direct call to user2.
2. Hover the row and click the green phone action.
3. Close that tab, then have user1 place a second direct call and click the red phone-off action on the sidebar row instead.
","1. An ""Incoming Calls"" group appears at the top of user2's sidebar containing the row for the direct message with user1. The row shows a green phone action and a red phone-off action.
2. The call is accepted: the ring stops, the incoming popup closes, and the provider's page opens in a new tab for user2.
3. The ring stops for user2, user1's ""Calling user2"" popup closes, and the ""Incoming Calls"" group disappears from user2's sidebar.
","1. 
2. 
3. 
",,,2,1,Flag OFF - pre-existing behaviour,,,no
5,Mute and dismiss silences an incoming call without answering it,The dismiss cross on the incoming popup is the only way to quieten a ring with the flag off.,"Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = Off (the default). Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2 exists and both have it open.",Nothing to restore: the settings are at their defaults. Close any call window still open.,"videoconf,conference-window,flag-off,popups,automation-candidate",medium,normal,regression,positive,to-be-automated,actual,no,e2e,classic,"1. Have user1 place a direct call to user2.
2. As user2, click the cross (""Mute and dismiss"") in the popup footer.
3. Wait for the caller side to give up (about 40 seconds from the start of the call).
","1. user2 sees the incoming popup and hears the ring tone.
2. The popup closes and the ring tone stops for user2. user1 still sees ""Calling user2"" and still hears the dial tone - the call was not declined.
3. user1's ""Calling user2"" popup closes on its own and the room's conference message block offers ""Call again"".
","1. 
2. 
3. 
",,,2,1,Flag OFF - pre-existing behaviour,,,no
6,A call in a channel posts a joinable message and rings nobody,"Group conferences are announced by a message, not by a ring, with the flag off - the server has always broadcast a ring event for them and no client acted on it.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = Off (the default). Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-calls with user1, user2 and user3 as members; all three are looking at the app.",Nothing to restore: the settings are at their defaults. Close any call window still open.,"videoconf,conference-window,flag-off,ringing,automation-candidate",high,major,regression,negative,to-be-automated,actual,no,e2e,classic,"1. As user1, open #qa-calls and click the room header camera button, then confirm with ""Start call"".
2. Look at user2 and user3.
3. As user2, click ""Join call"" on the message block.
","1. A new tab opens for user1 at the provider's page. A video-conference message block is posted in #qa-calls offering ""Join call"".
2. Neither hears a ring tone, neither gets an incoming-call popup, and neither sidebar grows an ""Incoming Calls"" group. The channel row shows the new message as usual.
3. The provider's page opens in a new tab for user2 and the block's participant count grows.
","1. 
2. 
3. 
",,,2,1,Flag OFF - pre-existing behaviour,,,no
7,No ongoing-calls navbar button and no joinable polling,"The ongoing-calls list is the flag's own surface. With the flag off it must not exist, and in particular the client must not poll GET /v1/video-conference.joinable, which a workspace with the flag off has no way to act on.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = Off (the default). Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2. Browser devtools available.",Nothing to restore: the settings are at their defaults. Close any call window still open.,"videoconf,conference-window,flag-off,negative,automation-candidate",high,major,regression,negative,to-be-automated,actual,no,e2e,classic,"1. As user1, look at the top navigation bar with no call running.
2. Open devtools > Network, filter on ""joinable"", and leave the app idle for 60 seconds.
3. Have user2 start a direct call to user1 and let it ring, then check the navbar and the network filter again.
","1. There is no video/camera icon button in the navbar controls section (only the omnichannel, admin and user-menu entries the workspace normally shows).
2. No request to /api/v1/video-conference.joinable is made at all.
3. Still no navbar video button and still no request to video-conference.joinable. The ring is announced by the incoming popup and the sidebar group only.
","1. 
2. 
3. 
",,,2,1,Flag OFF - pre-existing behaviour,,,no
8,The user-card video call action needs an existing room,"With the flag off, calling from a user card means calling in a room, because the popup it opens has to name one. So the action is offered only where a room already exists.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = Off (the default). Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-calls with user1 and user3 as members. user1 has NO direct message with user3.",Nothing to restore: the settings are at their defaults. Close any call window still open.,"videoconf,conference-window,flag-off,user-card,automation-candidate",low,minor,regression,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, open #qa-calls, click user3's avatar in a message to open their user card, and open its kebab menu.
2. Click ""Video call"".
3. Press Escape and check the sidebar.
","1. A ""Video call"" entry is listed (a direct message with user3 does not exist yet, but the channel is the room the call would be placed in).
2. The ""Start a call"" popup opens naming the room the call is placed in, with the mic and camera controls. No window opens and no direct message is created.
3. No new direct message with user3 appears - nothing was created.
","1. 
2. 
3. 
",,,2,1,Flag OFF - pre-existing behaviour,,,no
9,The room call button opens the call window and the room asks nothing,"The window has to open on the click that asked for it, inside the browser's user-activation window, and the preflight inside it replaces both room popups. Covered by tests/e2e/video-conference-call-window.spec.ts.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2 exists.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,preflight,automation-candidate",high,critical,smoke,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, open the direct message with user2 and click the room header camera button.
2. Look at the room in the main window.
3. Look at the call window.
4. Look at the direct message in the main window.
","1. A separate browser window opens, roughly 1280x800 and centred, at a URL of the form /conference/new?rid=<the dm id>.
2. No ""Start a call with user2"" popup and no ""Calling user2"" popup appear - the room asks nothing.
3. It shows the preflight: no navbar and no sidebar, a heading ""Start conference with user2"", a camera tile, device toggles, a ""Call user2"" button and a Cancel button.
4. No conference message has been posted and the room's call history is unchanged - nothing exists yet.
","1. 
2. 
3. 
4. 
",,,3,1,Flag ON - placing a call,,,no
10,Cancelling the start preflight leaves no trace,"Clicking call used to create the conference - a message, a ring and a row in everyone's history - for a call the user might still walk away from. Cancelling before confirming must create nothing.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2 exists.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,preflight,automation-candidate",high,major,functional,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, click the room header camera button to open the call window on its preflight.
2. Click Cancel in the call window.
3. In the main window, inspect the direct message and its call history (kebab > Video conferences).
","1. The call window shows ""Start conference with user2"".
2. The call window closes and the main app is back in the foreground.
3. No conference message was posted, no call is listed, and user2 was never rung.
","1. 
2. 
3. 
",,,3,1,Flag ON - placing a call,,,no
11,Confirming the preflight creates the conference and settles the window on it,"Confirming posts start then join, hands the join result to the conference page and replaces the URL, so a reload lands on the call rather than starting a second one.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2 exists.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,preflight,automation-candidate",high,critical,smoke,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, open the call window from the direct message and click ""Call user2"".
2. Look at the direct message in the main window.
3. Reload the call window (F5).
","1. The button shows a loading state, then the call window's URL changes to /conference/<callId> and the call itself is shown: a top bar with a timer and the provider's call filling the window.
2. A video-conference message block has been posted, and the call appears in the room's call history.
3. It comes back on the same /conference/<callId>, showing the call. A second conference was NOT created - the room still has exactly one conference message.
","1. 
2. 
3. 
",,,3,1,Flag ON - placing a call,,,no
12,A group conference is named on the way in,"A group conference is named at the preflight; the field is prefilled with ""Meeting in <room>"" and the name is what the sidebar list and the provider are told to call it.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-calls with user1, user2 and user3 as members.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,preflight,naming,automation-candidate",high,major,functional,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, open #qa-calls and click the room header camera button.
2. Check the preflight for a ringing control.
3. Replace the field contents with ""Sprint sync"" and click ""Start call"".
4. As user2, open the navbar ongoing-calls (video) button.
","1. The call window opens on the preflight with the heading ""Start a new conference"" and a text field above the camera tile prefilled with ""Meeting in qa-calls"".
2. There is no ""Ring people"" checkbox: a channel announces a call rather than ringing it, so there is nothing for the switch to change.
3. The call opens. The top bar of the call window shows the timer, a separator and ""Sprint sync"".
4. The dropdown lists one row named ""Sprint sync"".
","1. 
2. 
3. 
4. 
",,,3,1,Flag ON - placing a call,,,no
13,The Ring people choice on a direct call is honoured,The ring is a request the caller makes at the preflight: with it unchecked the callee is registered as a member but never rung.,"Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2 exists.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,ringing,automation-candidate",high,major,functional,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, open the call window from the direct message with user2.
2. Uncheck ""Ring people"".
3. Click ""Call user2"".
4. As user1, open the People panel in the call window (the members button in the top bar).
5. As user2, open the navbar video button.
","1. The preflight shows a ""Ring people"" checkbox, checked, and the line ""user2 will be notified when you start the call"".
2. The ""user2 will be notified when you start the call"" line disappears.
3. user1 lands in the call. user2 hears no ring tone and gets no desktop notification, and user2's navbar video button does not turn red.
4. user2 is listed under ""Not in the call"" with the status ""Waiting for answer"" and a phone button to ring them.
5. The dropdown lists the call as an ordinary running call, joinable by clicking the row.
","1. 
2. 
3. 
4. 
5. 
",,,3,1,Flag ON - placing a call,,,no
14,Calling from a user card creates the direct message it needs,"With the call window a call placed from a card is about the person, not the room, so a direct room is created for one that does not exist yet rather than hiding the entry.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-calls with user1 and user3 as members. user1 has NO direct message with user3.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,user-card,automation-candidate",medium,normal,functional,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, open #qa-calls, open user3's user card and choose ""Video call"" from its menu.
2. Look at the main window's sidebar.
3. Click Cancel in the call window.
","1. The user card closes and a call window opens at /conference/new?rid=<a new direct room id>, showing ""Start conference with user3"".
2. A direct message with user3 now exists, with no messages in it.
3. The window closes. The direct message stays (it was created on the way to the call) but it holds no conference message.
","1. 
2. 
3. 
",,,3,1,Flag ON - placing a call,,,no
15,"The callee is rung when the caller arrives, not when they click",Being rung into a call whose caller is still choosing a camera means answering to an empty room. The ring waits for the caller to actually enter the call.,"Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2 exists.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,ringing,automation-candidate",high,critical,smoke,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, click the room header camera button in the direct message with user2 and stop at the preflight without confirming. Watch user2 for 15 seconds.
2. As user1, click ""Call user2"".
3. As user1, open the People panel in the call window.
","1. user2 hears nothing, sees no navbar video button appear and gets no notification.
2. Within a second or two user2 hears the ring tone and a red video button appears in user2's navbar with its dropdown already open, listing the call with ""Ringing..."" in the timestamp corner.
3. user2 is listed under ""Not in the call"" with the status ""Ringing"" and no phone button (there is nothing more to ask of a phone already ringing).
","1. 
2. 
3. 
",,,4,1,Flag ON - being called,,,no
16,"A ringing call is listed, not popped",An incoming call must no longer take over the callee's screen: it is a row in the ongoing-calls list and the rest of the app stays usable.,"Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2 exists.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,ringing,sidebar,automation-candidate",high,major,functional,negative,to-be-automated,actual,no,e2e,classic,"1. Have user1 place a direct call to user2 and enter it, so user2 is ringing.
2. Look at user2's screen.
3. Check user2's sidebar.
","1. user2 hears the ring tone.
2. There is no incoming-call popup and no backdrop over the app: user2 can still click around the sidebar and type in a room. The only announcement is the red navbar video button and its dropdown.
3. There is no ""Incoming Calls"" group - the ringing room sits in whichever group it normally belongs to (Direct Messages / Conversations), with no accept or reject actions on its row.
","1. 
2. 
3. 
",,,4,1,Flag ON - being called,,,no
17,Clicking a ringing row answers it through the join preflight,"The row click is deliberately not a bare join: the preflight describes the call and chooses the devices, so a mis-click costs a window rather than putting someone into a call with their camera on.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2 exists.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,ringing,automation-candidate",high,critical,smoke,positive,to-be-automated,actual,no,e2e,classic,"1. Have user1 place a direct call to user2 and enter it. As user2, open the navbar video dropdown and click the body of the ringing row (not one of its buttons).
2. Click ""Join call"".
3. As user1, look at the People panel.
4. As user2, open the navbar video dropdown again.
","1. A call window opens for user2 at /conference/<callId> showing the preflight, headed ""Join conference with user1"", with a ""Join call"" button. The ring tone stops.
2. user2 lands in the call - top bar with timer, the provider's call in the window.
3. user2 has moved to the ""In call"" section with no status line, and the members badge on the top bar reads 2.
4. The call is still listed, as an ordinary running call, and the row offers no decline action.
","1. 
2. 
3. 
4. 
",,,4,1,Flag ON - being called,,,no
